gx,gy,x_center,y_center,first_hit,hits
0,0,-2.975,0.025,-1,0
1,0,-2.925,0.025,-1,0
2,0,-2.875,0.025,-1,0
3,0,-2.825,0.025,-1,0
4,0,-2.775,0.025,-1,0
5,0,-2.725,0.025,-1,0
6,0,-2.675,0.025,-1,0
7,0,-2.625,0.025,-1,0
8,0,-2.575,0.025,-1,0
9,0,-2.525,0.025,-1,0
10,0,-2.475,0.025,-1,0
11,0,-2.425,0.025,-1,0
12,0,-2.375,0.025,-1,0
13,0,-2.325,0.025,-1,0
14,0,-2.275,0.025,-1,0
15,0,-2.225,0.025,-1,0
16,0,-2.175,0.025,-1,0
17,0,-2.125,0.025,-1,0
18,0,-2.075,0.025,-1,0
19,0,-2.025,0.025,-1,0
20,0,-1.975,0.025,-1,0
21,0,-1.925,0.025,-1,0
22,0,-1.875,0.025,-1,0
23,0,-1.825,0.025,-1,0
24,0,-1.775,0.025,-1,0
25,0,-1.725,0.025,-1,0
26,0,-1.675,0.025,-1,0
27,0,-1.625,0.025,-1,0
28,0,-1.575,0.025,-1,0
29,0,-1.525,0.025,-1,0
30,0,-1.475,0.025,-1,0
31,0,-1.425,0.025,-1,0
32,0,-1.375,0.025,-1,0
33,0,-1.325,0.025,-1,0
34,0,-1.275,0.025,-1,0
35,0,-1.225,0.025,-1,0
36,0,-1.175,0.025,-1,0
37,0,-1.125,0.025,-1,0
38,0,-1.075,0.025,-1,0
39,0,-1.025,0.025,-1,0
40,0,-0.975,0.025,-1,0
41,0,-0.925,0.025,-1,0
42,0,-0.875,0.025,-1,0
43,0,-0.825,0.025,-1,0
44,0,-0.775,0.025,-1,0
45,0,-0.725,0.025,-1,0
46,0,-0.675,0.025,-1,0
47,0,-0.625,0.025,-1,0
48,0,-0.575,0.025,-1,0
49,0,-0.525,0.025,-1,0
50,0,-0.475,0.025,-1,0
51,0,-0.425,0.025,-1,0
52,0,-0.375,0.025,-1,0
53,0,-0.325,0.025,-1,0
54,0,-0.275,0.025,-1,0
55,0,-0.225,0.025,-1,0
56,0,-0.175,0.025,-1,0
57,0,-0.125,0.025,-1,0
58,0,-0.075,0.025,-1,0
59,0,-0.025,0.025,-1,0
60,0,0.025,0.025,6185,1
61,0,0.075,0.025,-1,0
62,0,0.125,0.025,-1,0
63,0,0.175,0.025,-1,0
64,0,0.225,0.025,-1,0
65,0,0.275,0.025,-1,0
66,0,0.325,0.025,-1,0
67,0,0.375,0.025,-1,0
68,0,0.425,0.025,-1,0
69,0,0.475,0.025,-1,0
70,0,0.525,0.025,-1,0
71,0,0.575,0.025,-1,0
72,0,0.625,0.025,-1,0
73,0,0.675,0.025,-1,0
74,0,0.725,0.025,-1,0
75,0,0.775,0.025,-1,0
76,0,0.825,0.025,-1,0
77,0,0.875,0.025,-1,0
78,0,0.925,0.025,-1,0
79,0,0.975,0.025,-1,0
80,0,1.025,0.025,-1,0
81,0,1.075,0.025,-1,0
82,0,1.125,0.025,-1,0
83,0,1.175,0.025,-1,0
84,0,1.225,0.025,-1,0
85,0,1.275,0.025,-1,0
86,0,1.325,0.025,-1,0
87,0,1.375,0.025,-1,0
88,0,1.425,0.025,-1,0
89,0,1.475,0.025,-1,0
90,0,1.525,0.025,-1,0
91,0,1.575,0.025,-1,0
92,0,1.625,0.025,-1,0
93,0,1.675,0.025,-1,0
94,0,1.725,0.025,-1,0
95,0,1.775,0.025,-1,0
96,0,1.825,0.025,-1,0
97,0,1.875,0.025,-1,0
98,0,1.925,0.025,-1,0
99,0,1.975,0.025,-1,0
100,0,2.025,0.025,-1,0
101,0,2.075,0.025,-1,0
102,0,2.125,0.025,-1,0
103,0,2.175,0.025,-1,0
104,0,2.225,0.025,-1,0
105,0,2.275,0.025,-1,0
106,0,2.325,0.025,-1,0
107,0,2.375,0.025,-1,0
108,0,2.425,0.025,-1,0
109,0,2.475,0.025,-1,0
110,0,2.525,0.025,-1,0
111,0,2.575,0.025,-1,0
112,0,2.625,0.025,-1,0
113,0,2.675,0.025,-1,0
114,0,2.725,0.025,-1,0
115,0,2.775,0.025,-1,0
116,0,2.825,0.025,-1,0
117,0,2.875,0.025,-1,0
118,0,2.925,0.025,-1,0
119,0,2.975,0.025,-1,0
0,1,-2.975,0.075,-1,0
1,1,-2.925,0.075,-1,0
2,1,-2.875,0.075,-1,0
