gx,gy,x_center,y_center,total_hits,entropy_bits,normalized_entropy,dominant_share,share_stem,share_bulk,share_left,share_right
60,0,0.025000,0.025000,1,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,1,0.025000,0.075000,5,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,2,0.025000,0.125000,13,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,3,0.025000,0.175000,9,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,4,0.025000,0.225000,11,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,5,0.025000,0.275000,17,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,6,0.025000,0.325000,33,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,7,0.025000,0.375000,34,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,8,0.025000,0.425000,44,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
60,9,0.025000,0.475000,43,0.159350,0.079675,0.976744,0.976744,0.000000,0.000000,0.023256
61,9,0.075000,0.475000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,10,0.025000,0.525000,60,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
61,10,0.075000,0.525000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
62,10,0.125000,0.525000,9,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,10,0.725000,0.525000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,10,0.775000,0.525000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,10,0.825000,0.525000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,11,0.025000,0.575000,44,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
62,11,0.125000,0.575000,10,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,11,0.175000,0.575000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,11,0.675000,0.575000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,11,0.725000,0.575000,5,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,11,0.775000,0.575000,2,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,11,0.825000,0.575000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
77,11,0.875000,0.575000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
78,11,0.925000,0.575000,6,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
60,12,0.025000,0.625000,51,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
62,12,0.125000,0.625000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
63,12,0.175000,0.625000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
64,12,0.225000,0.625000,14,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
73,12,0.675000,0.625000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
74,12,0.725000,0.625000,4,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
75,12,0.775000,0.625000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
76,12,0.825000,0.625000,3,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
