view,bucket_start,bucket_end,count,escape_fraction,mean_smooth_iter,p90_smooth_iter,max_smooth_iter
"whole set",0.000,7.778,43774,0.763,7.572,11.486,275.280
"whole set",7.778,15.556,6462,0.763,7.572,11.486,275.280
"whole set",15.556,23.333,1470,0.763,7.572,11.486,275.280
"whole set",23.333,31.111,628,0.763,7.572,11.486,275.280
"whole set",31.111,38.889,304,0.763,7.572,11.486,275.280
"whole set",38.889,46.667,236,0.763,7.572,11.486,275.280
"whole set",46.667,54.444,176,0.763,7.572,11.486,275.280
"whole set",54.444,62.222,84,0.763,7.572,11.486,275.280
"whole set",62.222,70.000,76,0.763,7.572,11.486,275.280
"whole set",70.000,77.778,84,0.763,7.572,11.486,275.280
"whole set",77.778,85.556,72,0.763,7.572,11.486,275.280
"whole set",85.556,93.333,42,0.763,7.572,11.486,275.280
"whole set",93.333,101.111,32,0.763,7.572,11.486,275.280
"whole set",101.111,108.889,14,0.763,7.572,11.486,275.280
"whole set",108.889,116.667,22,0.763,7.572,11.486,275.280
"whole set",116.667,124.444,36,0.763,7.572,11.486,275.280
"whole set",124.444,132.222,28,0.763,7.572,11.486,275.280
"whole set",132.222,140.000,22,0.763,7.572,11.486,275.280
"whole set",140.000,147.778,26,0.763,7.572,11.486,275.280
"whole set",147.778,155.556,12,0.763,7.572,11.486,275.280
"whole set",155.556,163.333,6,0.763,7.572,11.486,275.280
"whole set",163.333,171.111,12,0.763,7.572,11.486,275.280
"whole set",171.111,178.889,6,0.763,7.572,11.486,275.280
"whole set",178.889,186.667,8,0.763,7.572,11.486,275.280
"whole set",186.667,194.444,8,0.763,7.572,11.486,275.280
"whole set",194.444,202.222,4,0.763,7.572,11.486,275.280
"whole set",202.222,210.000,12,0.763,7.572,11.486,275.280
"whole set",210.000,217.778,8,0.763,7.572,11.486,275.280
"whole set",217.778,225.556,4,0.763,7.572,11.486,275.280
"whole set",225.556,233.333,2,0.763,7.572,11.486,275.280
"whole set",233.333,241.111,4,0.763,7.572,11.486,275.280
"whole set",241.111,248.889,12,0.763,7.572,11.486,275.280
"whole set",248.889,256.667,10,0.763,7.572,11.486,275.280
"whole set",256.667,264.444,10,0.763,7.572,11.486,275.280
"whole set",264.444,272.222,12,0.763,7.572,11.486,275.280
"whole set",272.222,280.000,6,0.763,7.572,11.486,275.280
"seahorse valley",0.000,7.778,0,0.142,46.522,105.899,280.525
"seahorse valley",7.778,15.556,14,0.142,46.522,105.899,280.525
"seahorse valley",15.556,23.333,4214,0.142,46.522,105.899,280.525
"seahorse valley",23.333,31.111,1607,0.142,46.522,105.899,280.525
"seahorse valley",31.111,38.889,916,0.142,46.522,105.899,280.525
"seahorse valley",38.889,46.667,590,0.142,46.522,105.899,280.525
"seahorse valley",46.667,54.444,413,0.142,46.522,105.899,280.525
"seahorse valley",54.444,62.222,325,0.142,46.522,105.899,280.525
"seahorse valley",62.222,70.000,236,0.142,46.522,105.899,280.525
"seahorse valley",70.000,77.778,222,0.142,46.522,105.899,280.525
"seahorse valley",77.778,85.556,163,0.142,46.522,105.899,280.525
"seahorse valley",85.556,93.333,132,0.142,46.522,105.899,280.525
"seahorse valley",93.333,101.111,125,0.142,46.522,105.899,280.525
"seahorse valley",101.111,108.889,108,0.142,46.522,105.899,280.525
"seahorse valley",108.889,116.667,113,0.142,46.522,105.899,280.525
"seahorse valley",116.667,124.444,79,0.142,46.522,105.899,280.525
"seahorse valley",124.444,132.222,77,0.142,46.522,105.899,280.525
"seahorse valley",132.222,140.000,68,0.142,46.522,105.899,280.525
"seahorse valley",140.000,147.778,57,0.142,46.522,105.899,280.525
"seahorse valley",147.778,155.556,56,0.142,46.522,105.899,280.525
"seahorse valley",155.556,163.333,39,0.142,46.522,105.899,280.525
"seahorse valley",163.333,171.111,55,0.142,46.522,105.899,280.525
"seahorse valley",171.111,178.889,37,0.142,46.522,105.899,280.525
"seahorse valley",178.889,186.667,44,0.142,46.522,105.899,280.525
"seahorse valley",186.667,194.444,38,0.142,46.522,105.899,280.525
"seahorse valley",194.444,202.222,36,0.142,46.522,105.899,280.525
"seahorse valley",202.222,210.000,35,0.142,46.522,105.899,280.525
"seahorse valley",210.000,217.778,30,0.142,46.522,105.899,280.525
"seahorse valley",217.778,225.556,26,0.142,46.522,105.899,280.525
"seahorse valley",225.556,233.333,24,0.142,46.522,105.899,280.525
"seahorse valley",233.333,241.111,31,0.142,46.522,105.899,280.525
"seahorse valley",241.111,248.889,20,0.142,46.522,105.899,280.525
"seahorse valley",248.889,256.667,29,0.142,46.522,105.899,280.525
"seahorse valley",256.667,264.444,34,0.142,46.522,105.899,280.525
"seahorse valley",264.444,272.222,22,0.142,46.522,105.899,280.525
"seahorse valley",272.222,280.000,17,0.142,46.522,105.899,280.525
"mini-brot neighborhood",0.000,7.778,0,0.968,65.095,125.492,280.381
"mini-brot neighborhood",7.778,15.556,0,0.968,65.095,125.492,280.381
"mini-brot neighborhood",15.556,23.333,0,0.968,65.095,125.492,280.381
"mini-brot neighborhood",23.333,31.111,0,0.968,65.095,125.492,280.381
"mini-brot neighborhood",31.111,38.889,18951,0.968,65.095,125.492,280.381
"mini-brot neighborhood",38.889,46.667,18055,0.968,65.095,125.492,280.381
"mini-brot neighborhood",46.667,54.444,4708,0.968,65.095,125.492,280.381
"mini-brot neighborhood",54.444,62.222,5464,0.968,65.095,125.492,280.381
"mini-brot neighborhood",62.222,70.000,4343,0.968,65.095,125.492,280.381
"mini-brot neighborhood",70.000,77.778,2504,0.968,65.095,125.492,280.381
"mini-brot neighborhood",77.778,85.556,1715,0.968,65.095,125.492,280.381
"mini-brot neighborhood",85.556,93.333,1615,0.968,65.095,125.492,280.381
"mini-brot neighborhood",93.333,101.111,1222,0.968,65.095,125.492,280.381
"mini-brot neighborhood",101.111,108.889,896,0.968,65.095,125.492,280.381
"mini-brot neighborhood",108.889,116.667,977,0.968,65.095,125.492,280.381
"mini-brot neighborhood",116.667,124.444,809,0.968,65.095,125.492,280.381
"mini-brot neighborhood",124.444,132.222,645,0.968,65.095,125.492,280.381
"mini-brot neighborhood",132.222,140.000,654,0.968,65.095,125.492,280.381
"mini-brot neighborhood",140.000,147.778,560,0.968,65.095,125.492,280.381
"mini-brot neighborhood",147.778,155.556,516,0.968,65.095,125.492,280.381
"mini-brot neighborhood",155.556,163.333,491,0.968,65.095,125.492,280.381
"mini-brot neighborhood",163.333,171.111,432,0.968,65.095,125.492,280.381
"mini-brot neighborhood",171.111,178.889,399,0.968,65.095,125.492,280.381
"mini-brot neighborhood",178.889,186.667,393,0.968,65.095,125.492,280.381
"mini-brot neighborhood",186.667,194.444,333,0.968,65.095,125.492,280.381
"mini-brot neighborhood",194.444,202.222,324,0.968,65.095,125.492,280.381
"mini-brot neighborhood",202.222,210.000,281,0.968,65.095,125.492,280.381
"mini-brot neighborhood",210.000,217.778,235,0.968,65.095,125.492,280.381
"mini-brot neighborhood",217.778,225.556,262,0.968,65.095,125.492,280.381
"mini-brot neighborhood",225.556,233.333,241,0.968,65.095,125.492,280.381
"mini-brot neighborhood",233.333,241.111,240,0.968,65.095,125.492,280.381
"mini-brot neighborhood",241.111,248.889,195,0.968,65.095,125.492,280.381
"mini-brot neighborhood",248.889,256.667,203,0.968,65.095,125.492,280.381
"mini-brot neighborhood",256.667,264.444,176,0.968,65.095,125.492,280.381
"mini-brot neighborhood",264.444,272.222,168,0.968,65.095,125.492,280.381
"mini-brot neighborhood",272.222,280.000,165,0.968,65.095,125.492,280.381
