candidate_id,status,selected_rank,score,lambda_max,occupancy,span_x,span_y,aspect_ratio,min_x,max_x,min_y,max_y,a0,a1,a2,a3,a4,a5,b0,b1,b2,b3,b4,b5
1,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.389380,1.023781,0.995674,0.808383,-0.080084,0.444406,-0.437909,-0.678377,0.051495,-0.859980,0.052634,1.150880
2,collapsed,,0.000000,-0.062926,0.000000,0.000000,0.000000,0.000000,-0.230250,-0.230250,-0.182035,-0.182035,-0.257675,-0.411390,1.127339,-0.934360,0.344018,-0.762836,-0.099684,0.524933,0.381692,0.738218,-0.098244,-0.921811
3,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.927541,-0.029717,-0.528395,0.282287,0.419576,-0.915603,0.577746,1.042226,-0.046780,0.481815,-0.999843,0.861508
4,collapsed,,0.000000,-0.316595,0.000000,0.000000,0.000000,0.000000,-0.505904,-0.505904,0.680177,0.680177,-0.439364,-0.553988,-0.076584,-0.610999,-0.790979,0.001198,0.422708,-0.374239,-0.217439,0.386197,0.969501,-0.870542
5,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.389413,0.997247,0.086651,-1.079799,0.548812,0.610041,0.221197,-0.052703,-0.486711,1.119319,0.463787,-0.284471
6,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.284004,-0.791812,1.102624,-0.290123,-0.763978,-0.509450,-0.338831,-0.221487,-0.668001,-0.697294,0.632431,-0.273093
7,collapsed,,0.000000,-0.134463,0.001250,0.402795,0.145636,0.361564,-0.160333,0.242462,-1.305064,-1.159428,-1.082727,-0.759075,-0.531963,-0.407661,0.037680,0.793589,-0.713804,0.202432,0.026539,0.468274,0.821501,0.328957
8,collapsed,,0.000000,-0.782436,0.000000,0.000000,0.000000,0.000000,0.298276,0.298276,-0.092613,-0.092613,0.392135,-0.519712,-0.590432,-0.419139,-0.999232,1.115614,-0.182459,0.416333,-0.233110,0.125936,0.082738,-0.286271
9,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.064529,-0.102714,-0.430618,0.768442,-0.471223,1.182164,1.121085,0.588941,0.291928,-1.098129,0.486572,0.157356
10,collapsed,,0.000000,-1.092057,0.000000,0.000000,0.000000,0.000000,0.175703,0.175703,0.259836,0.259836,0.020135,0.199560,-0.856261,-0.722981,0.881625,-0.727736,0.303098,0.264980,-1.060833,0.346359,-0.134040,-0.563663
11,collapsed,,0.000000,-0.848374,0.000000,0.000000,0.000000,0.000000,-0.225482,-0.225482,-0.215763,-0.215763,-0.194456,-0.256705,-1.173160,0.082004,0.143873,-0.047454,-0.526897,-1.195508,-0.165027,0.598386,-0.331451,-1.088366
12,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.585029,0.097663,1.095608,-0.878574,1.034997,-0.438508,1.059364,-0.338735,0.508964,-0.077808,-0.790628,0.570214
13,collapsed,,0.000000,-0.418948,0.000000,0.000000,0.000000,0.000000,0.462897,0.462897,0.752741,0.752741,0.592372,0.273927,-0.070434,0.582034,-0.903951,0.417305,0.639725,-0.691007,-0.304588,0.103171,1.139059,-0.697505
14,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.105803,1.154155,1.158514,0.383573,1.173144,0.669488,-0.635644,-0.344504,0.922355,-0.108789,-0.472200,0.744392
15,collapsed,,0.000000,-0.166811,0.000000,0.000000,0.000000,0.000000,0.147744,0.147744,0.253633,0.253633,-0.128036,-0.578695,-0.007772,0.820079,1.067207,0.933300,0.351791,0.077186,-0.905881,-0.656794,-0.281237,0.095670
16,diverged,,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.115860,-0.525849,-0.674597,0.949430,-0.665447,-0.676835,-1.067605,0.279196,-0.240926,0.481158,1.052256,-0.744316
