step,base_active_fraction,perturbed_active_fraction,diff_active_fraction,diff_width_fraction,leftmost_diff,rightmost_diff
0,0.004149,0.008299,0.004149,0.004149,123,123
1,0.012448,0.024896,0.012448,0.012448,122,124
2,0.012448,0.012448,0.008299,0.016598,122,125
3,0.024896,0.024896,0.024896,0.024896,121,126
4,0.016598,0.029046,0.012448,0.029046,121,127
5,0.037344,0.041494,0.020747,0.033195,121,128
6,0.020747,0.033195,0.020747,0.037344,121,129
7,0.049793,0.053942,0.037344,0.045643,120,130
8,0.029046,0.033195,0.020747,0.049793,120,131
9,0.049793,0.066390,0.041494,0.058091,119,132
10,0.045643,0.037344,0.033195,0.066390,118,133
11,0.058091,0.070539,0.062241,0.074689,117,134
12,0.049793,0.045643,0.029046,0.082988,116,135
13,0.078838,0.095436,0.049793,0.091286,115,136
14,0.053942,0.045643,0.058091,0.099585,114,137
15,0.091286,0.099585,0.049793,0.107884,113,138
16,0.062241,0.062241,0.058091,0.116183,112,139
17,0.078838,0.082988,0.053942,0.124481,111,140
18,0.082988,0.078838,0.078838,0.132780,110,141
19,0.099585,0.099585,0.082988,0.141079,109,142
20,0.087137,0.103734,0.082988,0.149378,108,143
21,0.095436,0.099585,0.095436,0.157676,107,144
22,0.095436,0.107884,0.087137,0.165975,106,145
23,0.116183,0.116183,0.099585,0.174274,105,146
24,0.107884,0.107884,0.091286,0.182573,104,147
25,0.112033,0.149378,0.112033,0.190871,103,148
26,0.107884,0.112033,0.103734,0.199170,102,149
27,0.136929,0.120332,0.107884,0.207469,101,150
28,0.124481,0.132780,0.107884,0.215768,100,151
29,0.141079,0.145228,0.153527,0.224066,99,152
30,0.128631,0.124481,0.120332,0.232365,98,153
31,0.161826,0.186722,0.149378,0.240664,97,154
32,0.107884,0.107884,0.116183,0.248963,96,155
33,0.161826,0.165975,0.128631,0.257261,95,156
34,0.120332,0.149378,0.128631,0.265560,94,157
35,0.190871,0.161826,0.161826,0.273859,93,158
36,0.132780,0.161826,0.145228,0.282158,92,159
37,0.182573,0.195021,0.161826,0.290456,91,160
38,0.157676,0.149378,0.165975,0.298755,90,161
39,0.186722,0.207469,0.170124,0.307054,89,162
40,0.195021,0.141079,0.170124,0.315353,88,163
41,0.170124,0.219917,0.199170,0.323651,87,164
42,0.186722,0.161826,0.174274,0.331950,86,165
43,0.203320,0.211618,0.215768,0.340249,85,166
44,0.157676,0.190871,0.182573,0.348548,84,167
45,0.228216,0.224066,0.195021,0.356846,83,168
46,0.174274,0.215768,0.207469,0.365145,82,169
47,0.211618,0.195021,0.207469,0.373444,81,170
48,0.182573,0.199170,0.199170,0.381743,80,171
49,0.219917,0.228216,0.224066,0.390041,79,172
50,0.178423,0.224066,0.211618,0.398340,78,173
51,0.244813,0.224066,0.253112,0.406639,77,174
52,0.215768,0.244813,0.236515,0.414938,76,175
53,0.248963,0.211618,0.236515,0.423237,75,176
54,0.203320,0.253112,0.207469,0.431535,74,177
55,0.269710,0.244813,0.240664,0.439834,73,178
56,0.236515,0.236515,0.240664,0.448133,72,179
57,0.248963,0.286307,0.219917,0.456432,71,180
58,0.232365,0.236515,0.211618,0.464730,70,181
59,0.286307,0.248963,0.261411,0.473029,69,182
60,0.253112,0.278008,0.240664,0.481328,68,183
61,0.290456,0.282158,0.257261,0.489627,67,184
62,0.244813,0.290456,0.278008,0.497925,66,185
63,0.323651,0.282158,0.282158,0.506224,65,186
64,0.265560,0.236515,0.269710,0.514523,64,187
65,0.232365,0.302905,0.269710,0.522822,63,188
66,0.269710,0.282158,0.244813,0.531120,62,189
67,0.286307,0.302905,0.257261,0.539419,61,190
68,0.286307,0.290456,0.261411,0.547718,60,191
69,0.278008,0.331950,0.344398,0.556017,59,192
70,0.319502,0.307054,0.253112,0.564315,58,193
71,0.323651,0.278008,0.294606,0.572614,57,194
72,0.302905,0.356846,0.286307,0.580913,56,195
73,0.282158,0.307054,0.265560,0.589212,55,196
74,0.344398,0.327801,0.298755,0.597510,54,197
75,0.323651,0.311203,0.360996,0.605809,53,198
76,0.323651,0.336100,0.319502,0.614108,52,199
77,0.360996,0.365145,0.319502,0.622407,51,200
78,0.331950,0.344398,0.311203,0.630705,50,201
79,0.356846,0.336100,0.352697,0.639004,49,202
80,0.365145,0.348548,0.356846,0.647303,48,203
81,0.327801,0.381743,0.311203,0.655602,47,204
82,0.336100,0.352697,0.315353,0.663900,46,205
83,0.390041,0.365145,0.340249,0.672199,45,206
84,0.336100,0.369295,0.331950,0.680498,44,207
85,0.419087,0.373444,0.385892,0.688797,43,208
86,0.323651,0.377593,0.360996,0.697095,42,209
87,0.365145,0.390041,0.390041,0.705394,41,210
88,0.377593,0.340249,0.394191,0.713693,40,211
89,0.356846,0.435685,0.336100,0.721992,39,212
90,0.356846,0.356846,0.365145,0.730290,38,213
91,0.468880,0.423237,0.369295,0.738589,37,214
92,0.327801,0.360996,0.373444,0.746888,36,215
93,0.419087,0.443983,0.365145,0.755187,35,216
94,0.373444,0.414938,0.348548,0.763485,34,217
