side,depth,tail_length,black_fraction,transition_rate,block_entropy_bits,normalized_block_entropy,detected_period
left,1,192,1.0,0.0,0.0,0.0,1
left,2,192,0.0,0.0,0.0,0.0,1
left,3,192,0.5,1.0,1.0,0.2,2
left,4,192,1.0,0.0,0.0,0.0,1
left,5,192,0.5,1.0,1.0,0.2,2
left,6,192,0.5,1.0,1.0,0.2,2
left,7,192,0.0,0.0,0.0,0.0,1
left,8,192,0.5,0.4973821989528796,2.0,0.4,4
left,9,192,1.0,0.0,0.0,0.0,1
left,10,192,0.5,0.5026178010471204,2.0,0.4,4
left,11,192,0.25,0.5026178010471204,2.0,0.4,4
left,12,192,0.75,0.4973821989528796,2.0,0.4,4
left,13,192,0.75,0.4973821989528796,2.0,0.4,4
left,14,192,0.5,0.4973821989528796,2.0,0.4,4
left,15,192,0.5,0.5026178010471204,2.0,0.4,4
left,16,192,0.75,0.5026178010471204,2.0,0.4,4
left,17,192,0.25,0.4973821989528796,2.0,0.4,4
left,18,192,0.5,0.5026178010471204,2.0,0.4,4
left,19,192,0.5,0.4973821989528796,2.0,0.4,4
left,20,192,0.5,0.4973821989528796,2.0,0.4,4
left,21,192,0.75,0.4973821989528796,2.0,0.4,4
left,22,192,0.5,0.5026178010471204,2.0,0.4,4
left,23,192,0.5,1.0,1.0,0.2,2
left,24,192,0.25,0.4973821989528796,2.0,0.4,4
right,1,192,0.5,1.0,1.0,0.2,2
right,2,192,0.5,1.0,1.0,0.2,2
right,3,192,0.5,0.4973821989528796,2.0,0.4,4
right,4,192,0.5,0.7486910994764397,2.9996734260048914,0.5999346852009783,8
right,5,192,0.375,0.7486910994764397,2.7497550695036685,0.5499510139007338,8
right,6,192,0.5,0.6230366492146597,3.9990059191037677,0.7998011838207535,16
right,7,192,0.5,0.6858638743455497,3.8942840530506957,0.7788568106101391,32
right,8,192,0.5,0.7486910994764397,3.807422480661439,0.7614844961322877,32
right,9,192,0.5,0.6544502617801047,4.247718864884271,0.8495437729768541,0
right,10,192,0.5,0.7486910994764397,3.8901100100431343,0.7780220020086268,0
right,11,192,0.484375,0.7486910994764397,3.910044209041686,0.7820088418083372,0
right,12,192,0.484375,0.7801047120418848,3.6422410294924537,0.7284482058984907,0
right,13,192,0.453125,0.8115183246073299,3.30182235381966,0.660364470763932,0
right,14,192,0.453125,0.7486910994764397,3.6477090890485995,0.7295418178097199,0
right,15,192,0.484375,0.6387434554973822,4.242759528762854,0.8485519057525709,0
right,16,192,0.5,0.7015706806282722,4.293729200255749,0.8587458400511497,0
right,17,192,0.484375,0.7172774869109948,4.259368760690851,0.8518737521381702,0
right,18,192,0.5,0.7382198952879581,4.158454362534246,0.8316908725068493,0
right,19,192,0.4947916666666667,0.7277486910994765,4.149221872534611,0.8298443745069222,0
right,20,192,0.4947916666666667,0.7329842931937173,4.130991950540181,0.8261983901080361,0
right,21,192,0.4583333333333333,0.7539267015706806,3.978783007980137,0.7957566015960273,0
right,22,192,0.453125,0.680628272251309,4.33871987893544,0.8677439757870881,0
right,23,192,0.484375,0.6858638743455497,4.3656081312704735,0.8731216262540947,0
right,24,192,0.5104166666666666,0.7382198952879581,4.026860566376302,0.8053721132752605,0
